CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1001,Male,0,0,1,50,1,No,DSL,No,Yes,Yes,No,No internet service,No,Month-to-month,1,Bank transfer,73.98,3701.37,0
1002,Female,0,0,0,70,1,No phone service,Fiber optic,No,Yes,No,No internet service,No,No internet service,One year,0,Electronic check,118.93,8331.01,0
1003,Male,1,0,1,47,1,No,DSL,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,1,Credit card,54.97,2580.38,0
1004,Male,0,1,0,18,1,Yes,DSL,No,No,No internet service,Yes,No,Yes,Month-to-month,0,Bank transfer,116.56,2095.82,0
1005,Male,0,0,0,5,1,Yes,No,No internet service,No,Yes,Yes,No internet service,No,Two year,0,Credit card,29.62,154.42,0
1006,Female,0,1,0,26,1,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,Bank transfer,93.25,2418.95,1
1007,Male,0,1,1,52,1,Yes,DSL,Yes,No,Yes,No internet service,Yes,No,Month-to-month,1,Bank transfer,31.43,1626.74,0
1008,Male,0,0,0,47,1,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,Month-to-month,1,Electronic check,47.36,2225.94,0
1009,Male,0,0,1,6,1,No,Fiber optic,Yes,Yes,No internet service,No,Yes,No,Month-to-month,0,Mailed check,77.08,465.4,0
1010,Female,0,1,0,58,0,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,1,Electronic check,79.28,4600.23,0
1011,Male,0,1,1,68,1,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,One year,0,Electronic check,97.52,6635.64,0
1012,Male,1,0,0,10,1,No phone service,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,1,Credit card,81.53,806.44,0
1013,Male,1,0,1,14,1,Yes,No,No internet service,Yes,No,No internet service,No internet service,No,Two year,0,Bank transfer,79.36,1109.6,0
1014,Male,0,0,1,63,0,No phone service,DSL,No,No internet service,Yes,No,No,No internet service,Month-to-month,1,Mailed check,111.24,7002.89,0
1015,Female,0,1,1,2,1,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,1,Bank transfer,65.22,135.62,0
